city_name;postal_code;area_sqm;population;category
Hameln;31785;102.53;57394;smaller
Meerbusch;40670;64.4;56855;smaller
Frankfurt (Oder);15230;147.85;56679;smaller
Stolberg (Rhld.);52222;98.48;56103;smaller
Eschweiler;52249;75.75;55784;smaller
Lingen (Ems);49808;176.19;55599;smaller
Sankt Augustin;53757;34.22;55563;smaller
Baden-Baden;76530;140.19;55527;smaller
Waiblingen;71332;42.75;55526;smaller
Görlitz;02826;67.53;55519;smaller
Hilden;40721;25.95;55182;smaller
Pulheim;50259;72.15;54805;smaller
Langenhagen;30853;71.97;54712;smaller
Nordhorn;48529;149.87;54162;smaller
Bad Homburg v. d. Höhe;61343;51.14;54144;smaller
Bad Salzuflen;32105;100.05;54074;smaller
Hattingen;45525;71.66;54061;smaller
Schweinfurt;97420;35.7;53585;smaller
Neustadt an der Weinstraße;67433;117.09;53491;smaller
Passau;94030;69.56;53093;smaller
Wetzlar;35578;75.65;52969;smaller
Ahlen;59227;123.13;52627;smaller
Kleve;47533;97.76;52470;smaller
Frechen;50226;45.06;52155;smaller
Menden (Sauerland);58706;86.1;52096;smaller
Wolfenbüttel;38300;78.73;51986;smaller
Ibbenbüren;49477;108.87;51888;smaller
Bad Kreuznach;55545;55.56;51695;smaller
Gummersbach;51643;95.41;51126;smaller
Ravensburg;88212;92.05;50928;smaller
Speyer;67346;42.71;50565;smaller
Böblingen;71032;39.04;50470;smaller
Peine;31224;119.84;50461;smaller
Rastatt;76437;58.98;50441;smaller
Elmshorn;25335;21.36;50141;smaller
Willich;47877;67.8;50133;smaller
Goslar;38640;163.88;50010;smaller
Erftstadt;50374;119.89;49667;smaller
Emden;26721;112.34;49523;smaller
Lörrach;79539;39.37;49318;smaller
Heidenheim an der Brenz;89522;107.09;49129;smaller
Gronau (Westf.);48599;78.82;49031;smaller
Leonberg;71229;48.73;48931;smaller
Bad Oeynhausen;32545;64.83;48803;smaller
Frankenthal (Pfalz);67227;43.88;48773;smaller
Rheda-Wiedenbrück;33378;86.72;48714;smaller
Bergkamen;59192;44.9;48669;smaller
Singen (Hohentwiel);78224;61.77;48587;smaller
Freising;85350;88.59;48582;smaller
Bornheim;53332;82.69;48435;smaller
Cuxhaven;27472;161.92;48318;smaller
Soest;59494;85.81;47929;smaller
Lahr/Schwarzwald;77933;69.84;47891;smaller
Straubing;94315;67.59;47854;smaller
Dachau;85221;34.96;47738;smaller
Alsdorf;52477;31.68;47678;smaller
Stade;21682;110.07;47579;smaller
Hennef (Sieg);53773;105.89;47400;smaller
Landau in der Pfalz;76829;82.94;46919;smaller
Dülmen;48249;184.83;46877;smaller
Melle;49324;253.95;46732;smaller
Oberursel (Taunus);61440;45.34;46660;smaller
Oranienburg;16515;163.67;46555;smaller
Herzogenrath;52134;33.38;46290;smaller
Schwerte;58239;56.23;46240;smaller
Neunkirchen;66538;75.26;46098;smaller
Rodgau;63110;65.04;45847;smaller
Filderstadt;70794;38.55;45814;smaller
Albstadt;72458;134.4;45737;smaller
Bruchsal;76646;93.04;45644;smaller
Bünde;32257;59.29;45364;smaller
Weinheim;69469;58.11;45197;smaller
Fellbach;70734;27.71;45141;smaller
Hof;95015;58.02;45125;smaller
Kaufbeuren;87600;40.02;45118;smaller
Gotha;99867;69.58;45099;smaller
Wittenberg;06886;240.63;44984;smaller
Neustadt am Rübenberge;31535;358.96;44796;smaller
Memmingen;87700;70.11;44721;smaller
Lehrte;31275;127.67;44369;smaller
Falkensee;14612;43.34;44280;smaller
Brühl;50321;36.12;43998;smaller
Rottenburg am Neckar;72108;142.26;43843;smaller
Kaarst;41564;37.39;43661;smaller
Pinneberg;25421;21.54;43603;smaller
Erkrath;40699;26.88;43594;smaller
Erkelenz;41812;117.34;43492;smaller
Bietigheim-Bissingen;74321;31.29;43137;smaller
Gifhorn;38518;105.4;42993;smaller
Borken;46325;153.24;42974;smaller
Heinsberg;52525;92.21;42888;smaller
Wismar;23952;41.72;42785;smaller
Aurich;26603;197.29;42544;smaller
Kamen;59174;40.95;42544;smaller
Nettetal;41334;83.87;42508;smaller
Weiden i.d.OPf.;92637;70.57;42472;smaller
Bernau bei Berlin;16321;104.17;42054;smaller
